Date,Operator,Registration,AirType,Locations,aboard,fatalities,groudfatalities
17-Sep-08,"Military - U.S. Army",?,"Wright Flyer III","Fort Myer, Virginia",2,1,0
07-Sep-09,"?",SC1,"Wright Byplane","Juvisy-sur-Orge, France",1,1,0
12-Jul-12,"Military - U.S. Navy",?,"Dirigible","Atlantic City, New Jersey",5,5,0
06-Aug-13,"Private",?,"Curtiss seaplane","Victoria, British Columbia, Canada",1,1,0
09-Sep-13,"Military - German Navy",?,"Zeppelin L-1 (airship)","Over the North Sea",20,14,0
17-Oct-13,"Military - German Navy",?,"Zeppelin L-2 (airship)","Near Johannisthal, Germany",30,30,0
05-Mar-15,"Military - German Navy",?,"Zeppelin L-8 (airship)","Tienen, Belgium",41,21,0
03-Sep-15,"Military - German Navy",?,"Zeppelin L-10 (airship)","Off Cuxhaven, Germany",19,19,0
28-Jul-16,"Military - German Army",?,"Schutte-Lanz S-L-10 (airship)","Near Jambol, Bulgeria",20,20,0
24-Sep-16,"Military - German Navy",?,"Zeppelin L-32 (airship)","Billericay, England",22,22,0
01-Oct-16,"Military - German Navy",?,"Zeppelin L-31 (airship)","Potters Bar, England",19,19,0
21-Nov-16,"Military - German Army",?,"Super Zeppelin (airship)","Mainz, Germany",28,27,0
28-Nov-16,"Military - German Navy",?,"Zeppelin L-34 (airship)","Off West Hartlepool, England",20,20,0
04-Mar-17,"Military - German Army",?,"Airship","Near Gent, Belgium",20,20,0
30-Mar-17,"Military - German Navy",?,"Schutte-Lanz S-L-9 (airship)","Off Northern Germany",23,23,0
14-May-17,"Military - German Navy",?,"Zeppelin L-22 (airship)","Near Texel Island, North Sea",21,21,0
14-Jun-17,"Military - German Navy",?,"Zeppelin L-43 (airship)","Off Vlieland Island, North Sea",24,24,0
17-Jun-17,"?",L-48,"Zepplin LZ-95 (air ship)","Near Yarmouth, England",16,14,0
21-Aug-17,"Military - German Navy",?,"Zeppelin L-23 (airship)","Off western Denmark",18,18,0
20-Oct-17,"Military - German Navy",?,"Zeppelin L-44 (airship)","Near Luneville, France",18,18,0
07-Apr-18,"Military - German Navy",?,"Zeppelin L-59 (airship)","Over the Mediterranean",23,23,0
10-May-18,"Military - German Navy",?,"Zeppelin L-70 (airship)","Off Helgoland Island, Germany",22,22,0
11-Aug-18,"Military - German Navy",?,"Zeppelin L-53 (airship)","Ameland Island, North Sea",19,19,0
16-Dec-18,"US Aerial Mail Service",97,"De Havilland DH-4","Elizabeth, New Jersey",1,1,0
25-May-19,"US Aerial Mail Service",61,"De Havilland DH-4","Cleveland, Ohio",1,1,0
19-Jul-19,"US Aerial Mail Service",82,"De Havilland DH-4","Dix Run, Pennsylvania",1,1,0
02-Aug-19,"Caproni Company",?,"Caproni Ca.48","Verona, Italy",14,14,0
02-Oct-19,"Aircraft Transport and Travel",?,"De Havilland DH-4","Newcastle, England",1,1,0
14-Oct-19,"US Aerial Mail Service",32,"Curtiss R-4LM","Cantonsville, Maryland",1,1,0
20-Oct-19,"Aircraft Transport and Travel",G-EAHG,"De Havilland DH-4","English Channel off Forkstone, Kent",0,0,0
30-Oct-19,"US Aerial Mail Service",77,"De Havilland DH.4","Long Valley, New Jersey",1,1,0
11-Dec-19,"Aircraft Travel Transport",G-EAHF,"de Havilland DH-4","Catherham, Surrey, UK",1,1,0
10-Mar-20,"US Aerial Mail Service",65,"De Havilland DH-4","New Paris, Indiana",1,1,0
30-Mar-20,"US Aerial Mail Service",72,"De Havilland DH-4","Newark, New Jersey",1,1,0
10-Apr-20,"US Aerial Mail Service",49,"Curtiss R-4LM","Newark, New Jersey",2,1,0
11-Apr-20,"US Aerial Mail Service",44,"Curtiss JN-4H","Heller Field, New Jersey",2,1,0
12-May-20,"US Aerial Mail Service",79,"De Havilland DH-4","Oskaloosa, Iowa",2,1,0
06-Jun-20,"US Aerial Mail Service",204,"De Havilland DH-4","Cleveland, Ohio",1,1,0
20-Jun-20,"Compa¤ia Colombiana de Navegaci¢n A‚rea",?,"Farman F-40","Cartagena, Columbia",1,1,0
16-Aug-20,"By Air",G-EALW,"Armstrong-Whitworth F-K-8","Bedford, England",1,1,0
16-Aug-20,"US Aerial Mail Service",317,"De Havilland DH-4","College Park, Maryland",1,1,0
01-Sep-20,"US Aerial Mail Service",305,"Junkers JL-6","Morristown, New Jersey",2,2,0
15-Sep-20,"US Aerial Mail Service",308,"Junkers F-13","Pemberville, Ohio",2,2,0
27-Sep-20,"US Aerial Mail Service",316,"De Havilland DH-4","Hillersburg, Pennsylvania",1,1,0
02-Oct-20,"Latecoere Airlines",F-ALAI,"Salmson 2-A-2","Off Port Vendres, France",2,2,0
05-Oct-20,"Latecoere Airlines",F-ALTA,"Breguet 14","Valencia, Spain",2,2,0
15-Oct-20,"US Aerial Mail Service",76,"De Havilland DH-4","Batavia, Illinois",1,1,0
07-Nov-20,"US Aerial Mail Service",?,"De Havilland DH-4","Tie Siding, Wyoming",1,1,0
14-Dec-20,"Handley Page Transport",G-EAMA,"Handley Page HP-16","London, England",8,4,0
24-Dec-20,"Aeropostale",F-ALBO,"Breguet 14","Barcelona, Spain",1,1,0
03-Feb-21,"US Aerial Mail Service",130,"De Havilland DH-4","Mendotta, Minnisota",1,1,0
09-Feb-21,"US Aerial Mail Service",301,"Junkers F-13","La Crosse, Wisconsin",3,3,0
15-Feb-21,"Aeropostale",F-ALBA,"Breguet 14","Off Gibraltar",2,2,0
22-Feb-21,"US Aerial Mail Service",67,"De Havilland DH-4","Elko, Nevada",1,1,0
06-Apr-21,"Military - Royal Australian Air Force",H3021,"Avro 504","Point Cook, Australia",2,2,0
21-Apr-21,"US Aerial Mail Service",160,"De Havilland DH-4","Mitchel Field, NY",1,1,0
29-Apr-21,"US Aerial Mail Service",196,"De Havilland DH-4","Cleveland, Ohio",1,1,0
17-May-21,"US Aerial Mail Service",176,"De Havilland DH-4 De Havilland DH-4","Rock Springs, Wyoming",1,1,0
14-Aug-21,"Aeropostale",F-ALBI,"Breguet 14","Toulouse, France",2,2,0
24-Aug-21,"Military - Royal Airship Works",R-38,"Royal Airship Works ZR-2 (airship)","River Humber, England",46,46,1
06-Sep-21,"Franco-Roumaine",F-ADCD,"Potez IX","Paris, France",5,5,0
05-Dec-21,"West Australian Airways",G-AUDI,"Bristol 28 Tourer","Near Murchinson River, Australia",2,2,0
14-Jan-22,"Handley Page Transport",G-EATN,"Handley Page O/10","Paris, France",5,5,5
21-Feb-22,"Military - U.S. Army Air Service",?,"Dirigible Roma (airship)","Near Norfolk, Virginia",45,34,0
22-Mar-22,"Aero Limited",?,"Aeromarine Model 85 (flying boat)","North Atlantic Ocean",6,5,0
07-Apr-22,"Daimler Airways / Grands Express Aeriens",G-EAOW/FGEAD,"de Havilland DH-18 / Farman F-60 Goliath","Grandvilliers, France",7,7,0
08-Apr-22,"?",?,"?","Pao Ting Fou, China",17,17,0
03-Jun-22,"Cie des Messageries Aeriennes",F-ACMH,"Bleriot Spad 27","Off Folkestone, Kent, England",3,3,0
04-Jul-22,"?",?,"LVG C VI","Fuhlsbuttel, Germany",3,2,0
16-Jul-22,"Compagnie Franco-Roumaine de Navigaation Aerienne",F-FREI,"Potez 29","Near Saverne, Lorraine, France",5,5,0
26-Jul-22,"Grands Express Aeriens",F-ALVE,"Breguet 14","Cadix, Spain",3,3,0
07-Sep-22,"US Aerial Mail Service",227,"De Havilland DH-4","Indianapolis, Indiana",1,1,0
02-Oct-22,"?",G-EAYT,"de Havilland DH-9","Venice, Italy",4,4,0
25-Oct-22,"Grands Express Aeriens",?,"Breguet 14","Larache, Morocco",2,2,0
03-Dec-22,"Grands Express Aeriens",F-ALNA,"Breguet 14","Fez, Morocco",1,1,0
10-Jan-23,"Amee de l'Air",F-AEIB,"Lior‚-et-Olivier H-13","Ajaccio, France",4,3,0
17-Jan-23,"Grands Express Aeriens",F-ALJU,"Breguet 14","Barcelona, Spain",1,1,0
18-Jan-23,"US Aerial Mail Service",223,"De Havilland DH-4","Cheyenne, Wyoming",1,1,0
26-Feb-23,"US Aerial Mail Service",291,"De Havilland DH-4","Meadville, Pennsylvania",1,1,0
14-May-23,"Grands Express Aeriens (Air Union)",F-AEBY,"Farman F-60 Goliath","Near Amiens, Picrdie, France",6,6,0
27-Aug-23,"Campagnie France Roumaine",F-AEGN,"Bl‚riot Spad 46","Bucharest, Romania",2,2,0
07-Sep-23,"US Aerial Mail Service",283,"De Havilland DH-4","Colton, Ohio",1,1,0
14-Sep-23,"Daimler Airways",G-EBBS,"de Havilland DH-34","Near Ivinghoe, Buckinghamshire, England",5,5,0
18-Nov-23,"CCCP",D-257,"Junkers F-13","Russia",5,3,0
06-Dec-23,"US Aerial Mail Service",318,"De Havilland DH-4","Castalia, Ohio",1,1,0
23-Dec-23,"Military - French Navy",L-72,"Zeppelin Dixmunde (airship)","Over the Mediterranean Sea",52,52,0
24-Dec-23,"US Aerial Mail Service",315,"De Havilland DH-4","Egbert, WY",1,1,0
07-Mar-24,"US Aerial Mail Service",327,"De Havilland DH-4","Grampian, Pennsylvania",1,1,0
24-Apr-24,"KLM Royal Dutch Airlines",H-NABS,"Fokker F.III","Over the English Channel",3,3,0
08-Jun-24,"SCADTA",A16,"Junkers F-13","Barranquilla, Colombia",5,5,0
01-Aug-24,"US Aerial Mail Service",297,"De Havilland DH-4","United States",1,1,0
06-Nov-24,"Grands Express Aeriens",F-AFBD,"?","Cabrerolles, France",1,1,0
21-Dec-24,"US Aerial Mail Service",311,"De Havilland DH-4","Goshen, Indiana",1,1,0
24-Dec-24,"Imperial Airways",G-EBBX,"de Havilland DH-34B","Purley, England",8,8,0
22-Mar-25,"Zakavia",R-RECA,"Junkers F-13","Near Tiflis, Georgia, USSR",5,5,0
25-Apr-25,"Grands Express Aeriens",F-AFBB,"Breguet 14","Alicante, Spain",3,3,0
25-Jun-25,"KLM Royal Dutch Airlines",H-NABM,"Fokker (KLM) F.III","Landr‚cies, France",4,4,0
26-Jun-25,"Grands Express Aeriens",F-FREM,"Lior‚-et-Olivier LeO H-13","Alicante, Spain",2,2,0
20-Jul-25,"Lignes Aeriennes Latecoere",F-AFBI,"Breguet 14","Rosas, Spain",1,1,0
24-Jul-25,"CIDNA",?,"Potez IX","Budapest, Hungary",1,1,0
03-Sep-25,"Military - U.S. Navy",ZR-1,"Dirigible ZR-1 Shenandoah (airship)","Caldwell, Ohio",43,14,0
01-Oct-25,"US Aerial Mail Service",385,"De Havilland DH-4","Nittany Mt, Ohio",1,1,0
14-Nov-25,"Lignes Aeriennes Latecoere",F-AEGZ,"Breguet 14","Nouadhibou, Mauritania",1,1,0
14-Nov-25,"Air Union",F-AMFY,"Farman F-60 Goliath","Off Boulogne-sur-Mer, France",2,2,0
12-Feb-26,"US Aerial Mail Service",602,"Curtiss Carrier Pigeon","Montpelier, Ohio",1,1,0
08-Mar-26,"Deutche Lufthansa",D-290 D-290,"Junkers F-13","Staaken, Germany",1,1,0
31-May-26,"Air Union",F-ADAI,"Breguet 14","English Channel",1,1,0
03-Jul-26,"Compagnie Internationale de Navigation A‚rienne",F-AFBT,"Caudron C-61","Rossaugpt, Czechoslovakia",6,6,0
09-Jul-26,"KLM Royal Dutch Airlines",H-NACC,"Fokker F7","Wolvertem, Belgium",2,2,0
24-Jul-26,"Deutsche Lufthansa",D-272,"Junkers F-13","Juist, Germany",5,5,0
18-Aug-26,"Air Union",F-AIEB,"Bleriot 155","Hurst, Kent, England",4,4,0
26-Sep-26,"?",?,"Sikorsky S-25","New York, New York",5,2,0
02-Oct-26,"Air Union",F- AICQ,"Bleriot 155","Leigh, Kent, Unied Kingdom",7,7,0
08-Oct-26,"Deutsche Lufthansa",D-468,"Fokker FG III","Bueren, Germany",4,4,0
21-Oct-26,"Imperial Airways",G-EBMS,"Handley Page W-10","English Channel",12,0,0
11-Nov-26,"Grands Express Aeriens",F-AFAX,"Breguet 14","Cape Bojador, Morocco",3,3,0
16-Dec-26,"Pacific Air Transport",2,"Ryan M-1","Medford, Oregon",1,1,0
12-Jan-27,"Fokker",G-EBPL,"Fokker F-VII","Estaires, France",0,0,0
20-Mar-27,"Grands Express Aeriens",F-ALRA,"Breguet 14","Rabat, Morocco",1,1,0
24-Mar-27,"Qantas",G-AUED,"de Havilland DH-9C","Tambo, Qld, Australia",3,3,0
15-Apr-27,"Varney Air Lines",?,"Swallow Swallow","King Hill, Idaho",1,1,0
22-Apr-27,"Deutsche Lufthansa",D-729,"Fokker FG III","Floh, Germany",2,2,0
22-Apr-27,"US Aerial Mail Service",626,"Douglas M-4","Goshen, Indiana",1,1,0
02-May-27,"Air Union",F-AIFN,"SPCA Meteore 63","Algiers, Algeria",3,1,0
27-Jul-27,"Deutsche Lufthansa",D-206,"Junkers F-13","Amoneburg, Germany",5,5,0
22-Aug-27,"KLM Royal Dutch Airlines",H-NADU H-NADU,"Fokker F-VIII","Sevenoaks, England",11,1,0
03-Sep-27,"Colonial Air Transport",NC52 NC52,"Fokker Universal","Willington, Connecticut",1,1,0
17-Sep-27,"Reynolds Airways",NC776,"Fokker F-VII","Hadley, New Jersey",12,7,0
17-Sep-27,"Private",NX703,"Fokker F7","Atlantic Ocean",3,3,0
23-Sep-27,"Deutsche Lufthansa",D-585,"Dornier Merkur","Schleiz, Germany",6,6,0
06-Oct-27,"Lignes Aeriennes Latecoere",F-AGBN,"Breguet 14","Thies, Mauritania",2,2,0
30-Oct-27,"Colonial Air Transport",?,"Fairchild FC-2","New Brunswick, New Jersey",4,4,0
08-Nov-27,"CIDNA",F-AIBR,"Farman F-121 Jabiru","Strasburg, France",1,1,0
16-Nov-27,"Aero O-Y",K-SALD,"Junkers F-13","Over the Gulf of Finland",6,6,0
29-Nov-27,"National Air Transport",NC62 NC1062,"Douglas M-4","Corunna, Indiana",1,1,0
28-Dec-27,"Aeropostale",F-AFGS,"Breguet 14","Almeria, Spain",1,1,0
31-Dec-27,"Latecoere Airlines",F-AIHP,"Lat‚coŠre 23 (flying boat)","Near Marseille,France",5,5,0
08-Jan-28,"Colonial Western Airlines",NC3780,"Fairchild FC-2","Near Canajoharie, New York",3,3,0
16-Jan-28,"Aeropostale",F-AIKG,"Latecoere 25","Solis, Uruguay",2,2,0
22-Jan-28,"Aeropostale",F-AHEQ,"Breguet 14","L'Hospitalet, AriŠge",1,1,0
22-Jan-28,"Aeropostale",F-AHEQ,"Breguet 14","Tarragona, Spain",2,2,0
27-Jan-28,"Aeropostale",F-AFHN,"Breguet 14","Almeria, Spain",1,1,0
26-Feb-28,"Boeing Air Transport",NC280,"Boeing 40","Marquette, Nebraska",2,1,0
11-Mar-28,"Air Union",F-AEFC,"Farman F-60 Goliath","Off Cape Griz Nez, France",2,2,0
17-Apr-28,"Boeing Air Transport",NC282 NC282,"Boeing 40","Federal, Wyoming",2,1,0
19-Apr-28,"Iberia Airlines",M-CCCC,"Rohrbach Roland","Minuesa, Spain",9,9,0
07-May-28,"Aeropostale",F-AIMQ,"Latecoere 26","Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil",5,1,0
12-May-28,"Ford Air Freight Inc.",NC1492,"Ford 4","Dearborn, Minnesota",2,2,0
26-May-28,"Deutsche Lufthansa",D-583,"Junkers F-13","Radevormwald, Germany",5,3,0
14-Jun-28,"Deutsche Lufthansa",D-74,"AEGK","Frankfurt, Germany",5,5,0
22-Jun-28,"National Air Transport",NC1059,"Douglas M-4","Lebo, Kansas",1,1,0
10-Jul-28,"Aero O-Y",K-SALB,"Junkers F-13","Over the Gulf of Finland",6,6,0
13-Jul-28,"Imperial Airways",G-EBLB,"Vickers 74 Vulcan","Purley, England",6,4,0
24-Jul-28,"KLM Royal Dutch Airlines",H-NABR,"Fokker (KLM) F.III","Waalhaven, Netherlands",6,1,0
25-Aug-28,"British Columbia Airways",G-CATX,"Ford 4-AT-B Tri Motor","Near Port Townsend, BC, Canada",7,7,0
02-Sep-28,"CIDNA",F-AIEP,"Bleriot Spad 33","Toul, France",5,5,0
04-Sep-28,"Qantas",G-AUHI,"de Havilland DH.50J","Adelaide Hills, Australia",2,1,0
04-Sep-28,"National Parks Airways",NC7242,"Fokker Super Universal","Pocatello, Idaho",7,7,0
06-Sep-28,"Deutsche Lufthansa",D-180,"Fokker FG III","Heroldbach, Germany",3,3,0
04-Oct-28,"Aeropostale",F-AEEJ F-AEEJ,"Breguet 14","Gerona, Spain",3,3,0
18-Oct-28,"National Air Transport",NC1064,"Douglas M-4","Polk, Pennsylvania",1,1,0
31-Oct-28,"Air Union",F-AIMN,"Bleriot Spad 56","Valence, France",2,1,0
15-Nov-28,"Aeropostale",F-AISN,"Latecoere 32","Off Gibraltar",3,1,0
24-Nov-28,"Universal Airlines",NC7521,"Hamilton H-47","Edgerton, Ohio",3,3,0
25-Nov-28,"Continental Air Lines",NC5436,"Travel Air 4000","Edgerton, Ohio",1,1,0
25-Nov-28,"National Air Transport",NC792,"Douglas M-4","Bristolville, Ohio",1,1,0
01-Dec-28,"Sunbeam Air Transport Co.",NC7862,"Ford 4-AT-B Tri Motor","Spur, Texas",5,5,0
03-Dec-28,"Syndicato Condor",P-BACA,"Dornier Wal","Near Rio de Janeiro,Brazil",14,14,0
10-Dec-28,"Spokane Airways",NC7687,"?","Spokan, Washington",5,5,0
11-Dec-28,"Deutsche Lufthansa",D-1473,"Junkers G-31","Letzlingen, Germany",4,3,0
20-Dec-28,"National Air Transport",NC790,"Douglas M-4","Huron, Ohio",1,1,0
23-Dec-28,"Interstate Airlines",?,"Fairchild FC-2","Chattanooga, Tennessee",4,4,0
31-Dec-28,"CIDNA",,"<undefined>","Reims, France",0,,0
05-Jan-29,"Colonial Air Transport",NC5650,"Fairchild FC-2","Stafford Springs, Connecticut",1,1,0
18-Jan-29,"Varney Air Lines",NC1682,"Stearman C-38","Cove, Oregon",1,1,0
25-Jan-29,"Aeroespresso",I-AZDA,"CMASA Wal","Near Corfu, Greece",9,2,0
31-Jan-29,"Skyline Transportation Company",NC6480,"Travel Air 4000","Morgantown, West Virginia",1,1,0
31-Jan-29,"Aeropostale",F-AIMU F-AIMU,"Latecoere 26","Off Morocco",2,2,0
17-Mar-29,"Colonial Western Airlines",NC7683,"Ford 5-AT-B Tri Motor","Newark, New Jersey",15,14,0
30-Mar-29,"New Standard Airlines",NC7888,"Fokker F-VIIA","Near Beaumont, California",4,4,0
21-Apr-29,"Maddux Airlines / Military - U.S.Army Air Force",NC9636 / 28-037,"Ford 5-AT-B Tri-Motor / B-PW-9D","San Diego, California",6,6,0
09-May-29,"Mexicana",M-SCAL,"Ford Tri-motor 4","Tampico, Mexico",5,5,0
18-May-29,"MALERT",H-MABC,"Fokker F-III","Hungary",2,2,0
22-May-29,"Aeropostale",F-AISX,"Cams 53","Algiers",6,4,0
10-Jun-29,"Pan American Airways",NC9700,"Fokker F-X","Santiago de Cuba, Cuba",5,2,0
14-Jun-29,"Aeropostale",F-AFEJ,"Breguet 14","Barcelona, Spain",2,1,0
17-Jun-29,"Imperial Airways",G-EBMT,"Handley Page W-10","Off Dungeness, England",13,7,0
24-Jun-29,"Northwest Orient Airlines",NC7416,"Ford 5-AT-B Tri-Motor","St. Paul, Minnesota",8,1,0
29-Jun-29,"Bodensee Aerolloyd",D-1620,"Domier Delphin III (flying boat)","Near Lindau, Bavaria, Germany",5,5,0
29-Jun-29,"Continental Air Lines",NC5435,"Travel Air 4000","Columbus, Ohio",1,1,0
11-Aug-29,"Middle States Airlines",NC870E,"Lockheed Vega","Clovis, New Mexico",4,4,0
24-Aug-29,"Deutsche Lufthansa",D-757,"Fokker FG II","Elm, Germany",5,4,0
24-Aug-29,"Ukvozduchput",CCCP-217,"Kalinin K-4","Sochi, Russia",1,1,0
02-Sep-29,"Associated Aviators",NR859E,"Lockheed Vega","Needles, California",2,1,0
03-Sep-29,"Trans Continental Air Transport",NC9649,"Ford 5-AT-B Tri Motor","Mt. Taylor, near Grants, New Mexico",8,8,0
06-Sep-29,"Imperial Airways",G-EBMZ,"de Havilland DH-66 Hercules","Jask, Iran",5,3,0
14-Sep-29,"Aeropostale",F-AIUJ,"Latecoere","North Atlantic Ocean",6,6,0
14-Sep-29,"Skyways",CF-ABE,"Travel Air 6000","Saint Catharines, Ontario",6,6,0
17-Sep-29,"Colonial Air Transport",?,"Pitcairn PA-6 Mailwing","Mt Lamentation, Connecticut",1,1,0
17-Sep-29,"Pickwick Airways",?,"Fairchild 71","Jacumba, California",2,1,0
17-Sep-29,"Aeropostale",F-AIUJ,"Latecoere 25-3-R","Off Larache, Morocco",5,5,0
26-Oct-29,"Imperial Airways",G-AADN,"Short Calcutta (flying boat)","Off Spezia, Italy",7,7,0
29-Oct-29,"Continental Air Lines",?,"Stearman C-38","Mount Vernon, Ohio",1,1,0
31-Oct-29,"Bremerton-Seattle Air Taxi / Gorst Air Lines",NC9158,"Loening C-2C","Off Bremerton, Washington",2,2,0
04-Nov-29,"Corp. Aeronautica de Transportes",NC46M,"Lockheed Vega 5","Cerro del Carbon, Mexico",4,4,0
06-Nov-29,"Deutsche Lufthansa",D-903,"Junkers G-24","Near Godstone, Surrey, England",8,7,0
15-Nov-29,"Air Union",F-AIGB,"Liore et Olivier 190","Off Corsica, France",3,3,0
20-Nov-29,"S.A.M. Societ… Aerea Mediterranea",I-TACO,"Savoia Marchetti S55","Terranova Pausania, East Sardinia",12,1,0
30-Nov-29,"Varney Air Lines",NC8199,"Stearman M-2 Speedmail","Vancouver, Washington",1,1,0
02-Dec-29,"National Air Transport",NC789,"Douglas M-3","Chagrin Falls, Ohio",1,1,0
19-Dec-29,"Deutsche Lufthansa",D-1594,"Arado V1","Near Berlin, Germany",3,2,0
30-Dec-29,"Trans Continental Air Transport",?,"Travel Air B6000","Amarillo, Texas",5,5,0
10-Jan-30,"Boeing Air Transport",NC184E,"Boeing 95","Brawnson, Nebraska",1,1,0
13-Jan-30,"Air Orient",F-AJJK,"Farman 190","Antananarivo, Madagascar",3,3,0
19-Jan-30,"Maddux Airlines",NC9689,"Ford 5-AT-C Tri Motor","Oceanside, California",16,16,0
25-Jan-30,"Aeropostale",F-AJCL,"Latecoere 25","Off Ceuta, Spain",2,2,0
27-Jan-30,"Central Airlines (Universal Aviation Corporation)",?,"Travel Air A6000A","Kansas City, Missouri",5,5,0
03-Feb-30,"Colonial Air Transport",NC801H,"Pitcairn PA-6 Mailwing","Hartford, Connecticut",1,1,0
10-Feb-30,"Air Union",F-FHMY,"Farman F-63","Marden, England",6,2,0
18-Apr-30,"Canadian Colonial Airways",NC9148,"Fairchild 71","Jersey City, New Jersey",4,4,0
10-May-30,"Aeropostale",F-AJPD,"Latecoere 28","Buenos Aires, Argentina",4,3,0
05-Jun-30,"Colonial Air Transport",NC9675,"Ford Tri-Motor 5","Boston, Massachusetts",15,1,0
07-Jul-30,"Deutsche Lufthansa",D-864,"Dornier Wal","Bornholm, Denmark",8,5,0
10-Jul-30,"Cross Airways",NC-394H,"Lockheed Vega 5","Arkansas Pass, Texas",5,5,0
21-Jul-30,"Walcot Air Line",G-AAZK,"Junkers F-13ge","Near Meopham, Kent, England",6,6,0
22-Aug-30,"Ceskoslovenske Aerolinie",OK-FOR,"Ford 5-AT-C Tri Motor","Iglau, Czechoslovakia",11,10,0
11-Sep-30,"Sabena",OO-AIN,"Sabca F-VII","Croydon, England",2,2,0
25-Sep-30,"Western Canada Airways",CF-AIN,"Boeing 40","Edmonton, Alberta, Canada",3,3,0
05-Oct-30,"Military - British Air Ministry",G-FAAW,"Royal Airship Works R-101","Near Beauvais, France",54,48,0
06-Oct-30,"Deutsche Lufthansa",D-1930,"Messerschmitt M-20B","Dresden, Germany",8,8,0
12-Oct-30,"Aeropostale",F-AJUU,"Latecoere 28","La Rache, Morocco",4,4,0
13-Oct-30,"Wings Ltd",VH-UPC,"de Havilland DH.80 Puss Moth","Perth, Australia",3,3,
28-Oct-30,"Alaska-Washington Airways",NC103W,"Lockheed Vega","Prince Rupert, BC, Canada",3,3,0
30-Oct-30,"Imperial Airways",G-EBIX,"Handley Page W-8","Near Neufchatel, France",6,3,0
30-Oct-30,"Embry Riddle Company",?,"Pitcairn PA-6 Mailwing","Brookston, Indiana",1,1,0
07-Nov-30,"Syndicato Condor",P-BAHA,"Junkers G-24","Off of Santos, Brazil",9,1,0
18-Nov-30,"Pacific Air Transport",NC5340,"Boeing 40","Techachapi Mountains, California",3,3,
09-Dec-30,"China National Aviation Corporation",?,"Loening C-W Air Yaht","Shanghai, China",6,4,0
08-Jan-31,"Sabena",OO-AIL,"Fokker F-VII","Melle, Belgium",2,2,0
22-Jan-31,"Varney Air Lines",NC741K,"Boeing 40","Bluff Mountain, Washington",1,1,0
08-Feb-31,"Dominion Air Lines",ZK-ACA,"Desoutter II","Wairoa, New Zealand",3,3,0
20-Feb-31,"Western Canada Airways",?,"Fokker Universal F-14","Bagot, Manitoba, Canada",3,2,0
24-Feb-31,"Aeropostale",F-AITX,"Latecoere 32","Off Spain",3,1,0
21-Mar-31,"Australian National Airways",VH-UMF,"Avro 10","New South Wales, Australia",8,8,0
31-Mar-31,"Trans Continental and Western Air",NC-999,"Fokker F10A Trimotor","Bazaar, Kansas",8,8,0
14-Apr-31,"Deutsche Lufthansa",D-1928,"Messerschmitt M-20","Near Letschen, Germany",10,2,0
05-May-31,"Pacific Air Transport",NC5390,"Boeing 40","Burbank, California",2,2,0
22-May-31,"Guiena Airways",VH-UNR,"Junkers W-34","Wampit, Australia",1,1,0
24-May-31,"National Air Transport",NC397E,"Boeing 95","Bellefonte, Pennsylvania",1,1,0
07-Jun-31,"Air Orient",PH-AEO,"Fokker F-VIIB","Near Sandoway, Burma",4,4,0
11-Jun-31,"Rubner Flying Service",NC857E,"Lockheed Vega 2","Walbridge, Ohio",3,2,0
13-Jun-31,"Deutsche Lufthansa",D-1455,"Dornier Merkur","Saarbrucken, Germany",4,4,0
12-Jul-31,"Braniff Airlines",NC8497,"Lockheed Vega","Chicago, Illinois",2,2,0
14-Jul-31,"Australian Aerial Services",VH-UGF,"Lasco Lascowl","Temora, Australia",2,2,0
21-Jul-31,"American Airways",?,"Pitcairn PA-6 Mailwing","Centralia, Illinois",1,1,0
24-Jul-31,"CIDNA",F-ALGT,"Fokker F-VII","Kurudjevo, Bulgaria",7,7,0
09-Aug-31,"American Airways",NC9662,"Ford 5-AT-C Tri Motor","Cincinnati, Ohio",6,6,0
14-Sep-31,"Chicago-Detroit Airways",NC606,"Lockheed Vega","Chicago, Illinois",1,1,0
15-Sep-31,"CIDNA",F-AIGT,"Fokker F-VIIb-3m","Near Craiova, Oltenia, Romania",6,6,0
16-Sep-31,"Pacific Air Transport",NC10347,"Boeing 40","Oakland, California",4,4,0
06-Oct-31,"Deutsche Lufthansa",D-1717,"Heinkel HE-2","Novia Scotia, Canada",3,3,0
14-Oct-31,"Syndicato Condor",P-BALSA,"Dornier Wal","Brazil",3,3,0
05-Nov-31,"NY, Phil., Washington AW",NC12221,"Lockheed Orion 9","Camden, New Jersey",5,5,0
13-Nov-31,"Union Airways",ZS-ACD,"De Havilland DH.80","Sir Lowry's pass, South Africa",3,3,0
23-Nov-31,"Boeing Air Transport",NC7465,"Boeing 40","Salt Lake City, Utah",1,1,0
24-Nov-31,"China National Aviation Corporation",?,"Stinson","Near Tsinan, China",3,3,0
26-Nov-31,"Varney Air Lines",NC10338,"Boeing 40","Pasco, Washington",1,1,0
05-Dec-31,"Braniff Airways",NC433E,"Lockheed Vega 5","Kewanee, Illinois",6,2,0
06-Dec-31,"KLM Royal Dutch Airlines",PH-AFO,"Fokker F-VIIb-3M","Bangkok, Thailand",7,5,0
09-Dec-31,"Aeropostale",F-AIOX,"CAMS 56","Off Algiers",2,2,0
31-Dec-31,"American Airways",?,"Fairchild Pilgrim 100A","Springfield, Ohio",5,4,0
