Date,Operator,Registration,AirType,Locations,aboard,fatalities,groudfatalities
25-Apr-94,"Dirgantara Air Services",PK-ZAA,"Britten Norman BN-2A-21 Trislander","Nanga Pinoh, Indonesia",11,11,0
26-Apr-94,"China Airlines (Taiwan)",B-1816,"Airbus A300B4-622R","Near Komaki, Aichi, Japan",271,264,0
27-Apr-94,"Action Airlines",N990RA,"Piper PA-31-350 Navajo","Stratford, Connecticut",9,8,0
29-Apr-94,"Lineas Aereas de los Libertadores",HK-3479,"Cessna 208 Caravan I","Near El Rosa, Colombia",9,8,0
07-May-94,"Rico Taxi Aero",PT-GJW,"Embraer 110 Bandeirante","Sao Gabriel, Brazil",16,8,0
23-May-94,"Arall",HK-2890,"Pilatus Britten-Norman BN-2B-27 Islander","Loma Linda, Colombia",11,4,0
28-May-94,"Transoriente Colombia",HK-2213,"Douglas DC-3 (C-53D-DO)","Near Villavicencio, Colombia",29,7,0
02-Jun-94,"Military - Royal Air Force",ZD576,"Boeing Vertol Chinook HC-2 (helicopter)","Near Campbeltown, Scotland",29,29,0
06-Jun-94,"China Northwest Airlines",B-2610,"Tupolev TU-154M","Near Xi'an, China",160,160,0
13-Jun-94,"Aerolineas Cuahonte",XA-SLU,"Swearingen SA.226TC Metro II","Near Uruapan, Mexico",9,9,0
18-Jun-94,"Merpati Nusantara Airlines",PK-MFI,"Fokker F-27 Friendship 500F","Mt. Kalora, Indonesia",12,12,0
18-Jun-94,"TAESA",XA-BBA,"Learjet 25D","Chantilly, Virginia",12,12,0
22-Jun-94,"Air Taxi - Sun Western Flyers Inc.",N13GA,"de Havilland DHC-3","Jeneau, Alaska",10,9,0
26-Jun-94,"Air Ivorie",TU-TIP,"Fokker F-27 Friendship 400M","Abidjan, Ivory Coast",17,17,0
29-Jun-94,"Military - Dostum-Galboddin Militia",?,"Antonov AN-32","Near Logar, Afghanistan",70,50,0
30-Jun-94,"Airbus Industrie",F-WWKH,"Airbus A330-321","Toulouse-Blagnac, France",7,7,0
01-Jul-94,"Air Mauritanie",5T-CLF,"Fokker F-28 Fellowship 4000","Near Tidjika, Mauritania",93,80,0
02-Jul-94,"USAir",N954VJ,"McDonnell Douglas DC-9-30","Charlotte, North Carolina",57,37,0
11-Jul-94,"Air Taxi - Peninsula Airways",N8297X,"Piper PA-32-301","Portage Creek, Alaska",5,3,0
14-Jul-94,"Air Taxi - Papillion Helicopters Ltd.",N151BH,"Aerospatiale AS350D","Hanalei, Hawaii",7,3,0
17-Jul-94,"Sankuru Air Service",RA-87256,"Yakovlev 40D","Boma, Democratic Republic Congo",9,5,0
17-Jul-94,"Air Martinique",8P-TAD,"Britten-Norman BN-2B-26 Islander","Near Fort de France, Martinique",6,6,0
19-Jul-94,"Alas Chiricanas",HP-1202AC,"Embraer 110P1 Bandeirante","Colon, Panama",21,21,0
26-Jul-94,"Airfast Services",PK-OBT,"Sikorsky S-58ET","East Kalimantan, Indonesia",18,18,0
05-Aug-94,"Military - Russian Air Force",?,"Antonov AN-12","Near Boda, Russia",47,47,0
07-Aug-94,"Air Taxi - Uyak Air Services Inc.",N126UA,"de Havilland DHC-2","Kodiak, Alaska",7,6,0
10-Aug-94,"Korean Airlines",HL-7296,"Airbus A300B4-622R","Cheju, South Korea",160,0,0
11-Aug-94,"Air Taxi - Talon Air Services Inc.",N17394,"de Havilland DHC-2","Alsworth, Alaska",3,3,0
12-Aug-94,"Air Taxi - National Helicopters",N124NH,"Bell 206L-4","Whiting, New Jersey",3,3,0
14-Aug-94,"Air Taxi - Lake Clark Air Inc.",N4839S,"Piper PA-32-260","Kenai, Alaska",4,3,0
21-Aug-94,"Royal Air Maroc",CN-CDT,"Aerospatiale ATR-42-300","Near Agadir, Morocco",44,44,0
08-Sep-94,"USAir",N513AU,"Boeing B-737-3B7","Near Aliquippa, Pennsylvania",132,132,0
13-Sep-94,"Aerocontroctors - Charter",5N-ATQ,"de Havilland Canada DHC-6 Twin Otter 300","Near Abuja, Nigeria",5,3,0
17-Sep-94,"Pacific Coastal Airlines",C-FDMR,"de Havilland Canada DHC-6 Twin Otter 100","Fish Egg Inlet, Canada",4,3,0
18-Sep-94,"Oriental Airlines",5N-IMO,"BAC One-Eleven 515FB","Tamanrasset, Algeria",39,5,0
23-Sep-94,"Heavylift Cargo Airlines",PK-PLV,"Lockheed L-100-30 Hercules","Kowloon Bay, Hong Kong",12,6,0
26-Sep-94,"Cheremshanka Airlines",RA-87468,"Yakovlev YAK-40","Near Vanavera, Russia",28,28,0
28-Sep-94,"TAM Paraguay",FAP2009,"Douglas C-47D","Bahia Negra, Paraguay",27,1,0
29-Sep-94,"Radeair",LV-WEN,"Rockwell 1121B Jet Commander","Buenos Aires, Brazil",9,8,0
30-Sep-94,"Arsenyev Aviation Production Association",RA-27209,"Antonov AN-8","Chaibukha, Russia",20,8,0
02-Oct-94,"Seaview Aviation",VH-SVQ,"Rockwell Turbo Commander 690B","Off Lord Howe Island, NWSW, Australia",9,9,0
08-Oct-94,"SELVA",HK3929X,"Antonov AN-32B","Mitu, Colombia",10,10,0
12-Oct-94,"Iran Asseman Airlines",EP-PAV,"Fokker F-28 Fellowship 1000","Krakas Mountains, near Natanz , Iran",66,66,0
